id,address,name
1,HwRnKq7RPtKHvX9wyHsc1zvfHtGjPQa5tyZtGtbvfXE,ufd
2,C3nLTNMK6Ao1s3J1CQhv8GbT3NoMmifWoi9PGEcYd9hP,chenpepe
3,CsD4m2ZUJahf7Cyb4yEeFxfr8bNMUCdXWUKicvK8AHAB,xiaosongshu
4,E7pzx3SadstgrYztrBpPB9uNPX1y2dJFoNLKMNmTsu5f,swarms_escape
5,2aTjYzEMjonqRroN8agxc1aBymgWwAWg1PR5auCziaH8,swarms_escape2
6,Biz4tVqqnDT2FqG62cFdLimC6AsJMZHKg2SUahSNZwDT,zhouniuniu3
7,GpdgWB6SbNrphDapU2jmcwhMRkAUYaSP1LRCTeKC27kA,zhouniuniu2
8,687kTFNvKG9GXf8UsPzyrKbKpz5ExNrSCWfs7S4PTGiL,HighROI
9,5wTLevkkUWzKgRTWKcSjrgdoP8TnrEnXYGaAxFKibsS5,him
10,8JhckE5RX7pZno85WzGAPVdLfQ7po4MHmenwXzSockhx,him
11,DxjmHXm1p7cs8Tezdf2EJm5xnwp9QC2E8CbfD1aXeH1j,him
12,E737Z3wRPfcrQ6YzTEbeXT8p1c8shd9vHZ74a3fLYCX7,vector_follower
13,4LDkCHJ1ZgP3DFpdHXCPtYqeDSUWZYJe426B515u2AmT,yaozong
14,4SktaG6DL3uPou3vDhNuCznXJbjsUszQWUNkannugRNX,joe2
15,52dq6ajenMwfVz5FYuPKKRzzjkW83Aa85X5xJgFHX7U1,someone
16,5gcNUSYdHkggsxLCDDzpE5PFm9BioZo7mrbC5dvLsJ5m,beta
17,4fBk8EVoPhuotFvVy4sSjpHiPh9irqHVsA1vbzoP1Tot,LongItAll
18,7iSG5y8f4DHtUEPLcgWQnJso99JRB51opyaRoH8qWZ8r,LaserCat397
19,4aW78GPFozKZXgCZFJBAXAQWgyVUTNwQrzYvFCKFRREs,jmart
20,BTp4uCeCeWKxT6pzTmqJzzrtyqeTmtF1zr2EtpnZSw7F,richclassdecor
21,2qte5Km8T3SLnrjrvcYtVbkCR2Cz3DpWSLi7JpfWMoWm,quazord 
22,9cQL8n7fkzg7uBrzi9K5EXdxZwC1i11khQTyXQGDBz5A,Billy_McSmithers 
23,4HkkhVMDNPE1YRBUNdpEa8TtVMK5vLHButcwxaw3pXS2,0xtsider_eth
24,4XoG5JY7BdQb7Svpxzb2zCR3KbPsbnCg1BhM66XL6Mq5,Uncle Joe
25,A4wfgGYijjdsZSyodkys6jj1F4MeG14w6yDh8B7vzq3p,JE
26,HUpPyLU8KWisCAr3mzWy2FKT6uuxQ2qGgJQxyTpDoes5,0xsun
27,CDUAza6NMFDUhjZEaAGHZA8y9AE9bEbm236K5AJhFHRv,neso
28,DNfuF1L62WWyW3pNakVkyGGFzVVhj4Yr52jSmdTyeBHm,DNF
29,CYWHDsprQJZu2e6umFAVCAHRK4z4KJWYNhSGWtTEsBve,BOL_sniper
30,Ah7SnagSabPNPvkcciYwqqyCR1ymMVW3C9tFvJea1kzV,pnut_fred 2
31,AbcX4XBm7DJ3i9p29i6sU8WLmiW4FWY5tiwB9D6UBbcE,pnut whale2_bad
32,GmM5UFm8xu6TnZD7avwYcQ1zq25hD5yvHfYyAksHu9vB,pnut_whale
33,4kWbtFRCoJFgbMpFqBzKYN3MsFcUwaL8t1ysB6ADq2ye,whale3
34,8zFZHuSRuDpuAR7J6FzwyF3vKNx4CVW3DFHJerQhc7Zd,pow
35,EP7HbXJkKd1xp6s3Jvuf6UkRAgzWtoAqvM2XZeD3pht,chenpepe_2
36,FaRAYxuMrr6HfBWXR5u8GKKdw73vwNBsnvd4dQqLAu4C,jiucai_2
37,3sbnFJSSuhvpvNz5gyGWgbGm2a71kyfSiFzBMGQpvALB,GNON_nailong
38,A4T5qRVgar4pheWT599aRoqScFCEZHe1krxWZeBPVtHZ,tuki_scoop
39,FbBba8W8EgHVkiQHKr5WFL689uohUdQcH5UZA3FasiK8,hold
40,4qYf3Ai1HakvosTBFXRxToGuibpP5WGHJBWfHr2qMBNj,tuki_smart
41,9iyAyxFsCo7iNobHb84FVN6YP3VRJMAJHSbQ6X9nQEfJ,tuki_smart2
42,9rE5Wp6j9CPu7fVzJ9PsT18Jy5Hdn6MFTPgrBb2x2Aup,wangxiaoer
43,4JU1YDGTGzNvB4fEZ3DYALhp5dcBPpavrp76HdzHttQx,pnut_whale3
44,DKgvpfttzmJqZXdavDwTxwSVkajibjzJnN2FA99dyciK,inside_trader
45,74PbMva1VccTKdVSSULxH1Xt7fahVqsv9XhwxXhTUg9e,Shegen
46,8yJFWmVTQq69p6VJxGwpzW7ii7c5J9GRAtHCNMMQPydj,based16z
47,Gf9XgdmvNHt8fUTFsWAccNbKeyDXsgJyZN8iFJKg5Pbd,xuezhang
48,8deJ9xeUvXSJwicYptA9mHsU2rN2pDx37KWzkDkEXhU6,cooker
49,Ay9wnuZCRTceZJuRpGZnuwYZuWdsviM4cMiCwFoSQiPH,lengjing
50,C5xCqdLR3ZGZ12AfawEfHUzAw8LMgHmWeP1JyAfGm5Xp,Billy
51,DBThRhtNc4kQ9dTWT5sW1RgcmEkiDNAJ5vohS8Ww5Aag,AI SMART MONEY
52,FTg1gqW7vPm4kdU1LPM7JJnizbgPdRDy2PitKw6mY27j,whale4
,,
,,